//Reference=MNI
//Canessa (2008),nonliving,pic,visual,high_sem,verbal
//Subjects=15
-24	-100	-10
14	-96	-6
-30	-86	8
34	-94	4
-32	-46	-28
34	-48	-28
-12	-62	18
12	-62	14
-52	-58	10
54	-54	12
-54	-64	24
54	-62	16
-62	-24	10
60	-26	6
-56	-14	-24
-30	-78	24
28	-72	32
30	-66	52
-58	-6	42
56	-10	46
-60	-6	8
64	-2	10
-18	38	46
20	26	48
0	10	52
0	-4	58
-2	26	14
4	28	10
-4	40	-2
-2	50	-4

//Reference=MNI
//Creem-Regehr, S. H., et al. (2005;con2),tool,pic,visual,high_sem,no_response
//Subjects=12
-42	-74	-6
-40	-34	-18
44	-62	2
44	-38	-18
46	-66	-6
40	-50	12
-40	-52	58
-20	-62	62
-26	-10	60
24	-8	60
-10	2	64
42	-40	64
-52	4	8
12	6	56
-16	10	4

//Reference=MNI
//Creem-Regehr, S. H., et al. (2005;con1),tool,pic,visual,low_sem,no_response
//Subjects=12
-44	-50	-18
-34	-44	-22
52	-62	-2
44	-66	-4
38	-42	-22
48	-62	18
-42	-28	56
28	-46	60
-54	0	26
-8	20	48

//Reference=Talairach
//Damasio, H., et al. (1996),tool,pic,visual,high_sem,verbal
//Subjects=9
-52	-46	-12
-31	-27	-19
-29	-1	-33
-50	-50	-11
-29	-28	-19
-32	-1	-33
-52	-50	-10
-45	22	9
-5	35	30

//Reference=Talairach
//Goldberg,   et al. (2006),nonliving,word,visual,high_sem,button
//Subjects=14
-54	-33	34
-47	5	25
-34	29	20

//Reference=Talairach
//Grabowski, T. J., et al. (1998),tool,pic,visual,high_sem,verbal
//Subjects=9
-44	23	8
-28	53	16

//Reference=Talairach
//Grafton, S. T., et al. (1997) exp1,tool,pic,visual,high_sem,button
//Subjects=8
-3	3	63
-39	-6	51
-32	44	17
-35	44	11
-38	17	17
17	26	27

//Reference=Talairach
//Grafton, S. T., et al. (1997) exp2,tool,pic,visual,high_sem,button
//Subjects=8
-6	3	48
-39	-6	51
-48	-2	29
-32	44	17
-38	17	17

//Reference=Talairach
//Grafton, S. T., et al. (1997),tool,pic,visual,low_sem,button
//Subjects=8
-39	-6	51
-32	44	17

//Reference=Talairach
//Grezes, J., et al. (2002) exp1,tool,pic,visual,high_sem,button
//Subjects=10
6	-6	72
-52	-44	30
-6	-48	24
18	-18	22
-40	28	8
-58	-2	6
-50	-68	4
48	-62	-48

//Reference=Talairach
//Grezes, J., et al. (2002) exp3,tool,pic,visual,high_sem,no_response
//Subjects=10
-30	-10	52
-6	-68	44
-34	38	34
18	32	28
66	-52	20
52	24	-2
24	-6	-4

//Reference=Talairach
//Grezes, J., et al. (2002) exp4,tool,pic,visual,high_sem,verbal
//Subjects=10
-56	-8	44
-48	-62	32
-32	40	32
-46	16	6
-62	-42	0
-36	-30	-18

//Reference=Talairach
//Grezes, J., et al. (2002) exp5,tool,pic,visual,high_sem,no_response
//Subjects=10
-56	-6	44
-32	38	34
-48	16	10
-56	-30	2
-36	-30	-16

//Reference=Talairach
//Grezes, J., et al. (2002) exp2,tool,pic,visual,low_sem,no_response
//Subjects=10
12	22	24
42	44	24
46	-66	16
58	24	-4
48	-28	-6
28	-2	-8
50	-4	-20

//Reference=Talairach
//Hwang, K., et al. (2009),nonliving,word,auditory,high_sem,verbal
//Subjects=13
-45	-69	34
49	-24	46

//Reference=Talairach
//Kawashima, R., et al. (2001),nonliving,pic,visual,high_sem,verbal
//Subjects=8
-12	-86	18
14	-92	22
10	-56	12
28	-68	2
28	-42	-10
-16	8	-36
-38	-16	-22

//Reference=MNI
//Kiyosawa, M., et al. (1996),tool,pic,visual,high_sem,verbal
//Subjects=4
-28	-33	5
-28	33	1
-24	-31	37
-24	35	41
-12	39	47
-8	-5	69
0	19	67
0	-39	-27
4	53	-35
8	23	-9
24	39	31
32	-29	-1
32	49	-3
40	13	-23

//Reference=Talairach
//Martin et al. (1996),tool,pic,visual,high_sem,verbal
//Subjects=16
-28	-50	-12
34	-50	-12
-36	-48	-4
-24	4	8
-12	-18	8
-30	8	8
-36	0	12
28	28	4
8	-56	-8

//Reference=Talairach
//Moore&Price (1999) Exp. 2,nonliving,pic,visual,high_sem,button
//Subjects=6
-42	24	-8
-4	-92	-10

//Reference=Talairach
//Perani et al. (1999) Exp. 1,nonliving,pic,visual,high_sem,button
//Subjects=11
-36	38	0
-62	-40	8
-56	-46	-8

//Reference=Talairach
//Phillips et al. (2002),nonliving,pic,visual,high_sem,button
//Subjects=12
16	-88	-34
36	-78	-34
-56	-62	0

//Reference=Talairach
//Tranel et al. (2005) Condition 1,tool,pic,visual,high_sem,verbal
//Subjects=10
-50	-46	-13
-26	-36	-12

//Reference=Talairach
//Tranel et al. (2005) Condition 2,tool,pic,visual,high_sem,verbal
//Subjects=10
-49	-46	-12
-50	-67	6
-50	23	19
-42	31	9

//Reference=Talairach
//Thommpson-Schill (1999) exp1,nonliving,word,auditory,high_sem,verbal
//Subjects=5
-41	-53	-11
49	-30	4
-30	19	-4
-38	-4	34

//Reference=Talairach
//Thommpson-Schill (1999) exp2,nonliving,word,visual,high_sem,verbal
//Subjects=5
-49	-45	-4
53	-30	4
-30	19	0
-38	-4	38
11	4	34

//Reference=MNI
//Wadsworth (2011) exp1,tool,pic,visual,high_sem,no_response
//Subjects=32
-12	-86	-12
-48	10	24
-26	-62	64
-22	-30	0
-10	8	66
-28	2	58
24	-30	0
32	-70	36
-18	-6	0

